id,provider,name,name_en,category,country,base_price,currency,external_link,brochure_link,benefits,benefits_en,min_age,max_age,tags
plan_606e433afca8264f,AXA,Vida Plata,Life Silver,vida,MX,388.00,MXN,https://www.seguroaxa.com.mx/oferta-pyme/,,Fallecimiento | Anticipo por fallecimiento | Enfermedades terminales | Muerte accidental (DI) | Pérdidas orgánicas por accidente (PO) | Invalidez Total y Permanente (BITP) | Servicio de asistencia funeraria | Tu médico 24 horas®,Death | Advance for death | Terminal illnesses | Accidental death (DI) | Organic losses due to accident (PO) | Total and Permanent Disability (BITP) | Funeral assistance service | Your 24-hour doctor®,,,odontologia
plan_af1dc361fb6364ea,AXA,Daños Plata,Damages Silver,otros,MX,599.00,MXN,https://www.seguroaxa.com.mx/oferta-pyme/,,"Daños materiales a tus pertenencias | Robo de tus pertenencias | Robo a clientes | Robo de dinero en tu negocio | Daños a terceras personas, animales o cosas","Material damages to your belongings | Theft of your belongings | Theft from clients | Theft of money in your business | Damages to third parties, animals, or things",,,
plan_64cae2d84338033e,AXA,Salud Plata,Health Silver,salud,MX,8940.00,MXN,https://www.seguroaxa.com.mx/oferta-pyme/,,Maternidad | +Care | Deducible 0 por accidente | Plan dental | Plan Visión | Urgencias médicas en el extranjero | Cobertura nacional | Preexistencia,Maternity | +Care | Zero deductible for accidents | Dental plan | Vision plan | Medical emergencies abroad | National coverage | Pre-existing conditions,,,odontologia | auto
plan_d039354cc678972e,Bmi Cos.,BMI Travel Assist - Student Plan,BMI Travel Assist - Student Plan,viaje,MX,230.00,MXN,https://www.bmitravelassist.com/Plans?plan=4,,Asistencia Médica por Accidente | Asistencia Médica por Enfermedad | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Gastos de Hotel por Convalescencia | Asistencia por Documentos y Efectos Personales Perdidos | Asistencia Legal por Accidente de Tráfico,Medical Assistance for Accident | Medical Assistance for Illness | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Hotel Expenses for Convalescence | Lost Documents and Personal Effects Assistance | Legal Assistance for Traffic Accident,,,odontologia | viaje
plan_1fd00d6665844865,AXA,AXA Healthy Pet,AXA Healthy Pet,mascotas,MX,300.00,MXN,https://queseguro.mx/axa/mascotas,,Veterinario | Veterinario telefónico | Responsabilidad Civil | Fallecimiento mascotas | Accidentes | Robo con violencia | Vacuna antirrábica,Veterinary Service | Telephone Veterinary Service | Civil Liability | Pet Fatality | Accidents | Theft with violence | Rabies vaccine,,,mascotas
plan_6b01ef0147b2797c,Bmi Cos.,BMI Travel Assist - Daily Plan,BMI Travel Assist - Daily Plan,viaje,MX,18.25,MXN,https://www.bmitravelassist.com/Plans?plan=0,,Asistencia Médica por Accidente | Asistencia Médica por Enfermedad | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Gastos de Hotel por Convalecencia | Asistencia por Documentos y Efectos Personales Perdidos | Asistencia Legal por Accidente de Tráfico,Medical Assistance for Accident | Medical Assistance for Illness | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Hotel Expenses for Convalescence | Lost Documents and Personal Effects Assistance | Legal Assistance for Traffic Accident,,,odontologia | viaje
plan_3d05a445bdfa0f2b,Bmi Cos.,BMI Travel Assist - Family Plan,BMI Travel Assist - Family Plan,viaje,MX,53.84,MXN,https://www.bmitravelassist.com/Plans?plan=3,,Asistencia Médica por Accidente | Asistencia Médica por Enfermedad | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Gastos de Hotel por Convalescencia | Asistencia por Documentos y Efectos Personales Perdidos | Asistencia Legal por Accidente de Tráfico,Medical Assistance for Accident | Medical Assistance for Illness | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Hotel Expenses for Convalescence | Lost Documents and Personal Effects Assistance | Legal Assistance for Traffic Accident,,,odontologia | familiar | viaje
plan_1f983de45ffe2102,Bmi Cos.,BMI Travel Assist - Corporate Plan,BMI Travel Assist - Corporate Plan,viaje,MX,714.73,MXN,https://www.bmitravelassist.com/Plans?plan=5,,Asistencia Médica por Accidente | Asistencia Médica por Enfermedad | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Gastos de Hotel por Convalescencia | Asistencia por Documentos y Efectos Personales Perdidos | Asistencia Legal por Accidente de Tráfico,Medical Assistance for Accident | Medical Assistance for Illness | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Hotel Expenses for Convalescence | Lost Documents and Personal Effects Assistance | Legal Assistance for Traffic Accident,,,odontologia | viaje
plan_6ec50250f4cdf7f7,Chubb,Chubb Hogar Seguro,Chubb Home Insurance,hogar,MX,125.00,MXN,https://www.chubb.com/mx-es/personas-y-familias/hogar.html,,Responsabilidad civil familiar | Asistencia de emergencia en el hogar | Asistencia para mascotas | Asistencia técnico especialista | Cristales | Robo de contenidos | Gastos Extras | Remonición de escombros,Family civil liability | Home emergency assistance | Pet assistance | Specialist technical assistance | Glass breakage | Contents theft | Extra expenses | Debris removal,,,familiar | mascotas | hogar
plan_ff1ee6bd7f7d8421,Bmi Cos.,BMI Travel Assist - Corporate Plan,BMI Travel Assist - Corporate Plan,viaje,CO,714.73,COP,https://www.bmitravelassist.com/Plans?plan=5,,Asistencia Médica por Accidente | Asistencia Médica por Enfermedad | Asistencia Médica por Condición Preexistente | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Repatriación de Restos Mortales | Muerte Accidental (Hasta 84 años),Medical Assistance for Accident | Medical Assistance for Illness | Medical Assistance in Case of Pre-Existing Medical Condition | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Repatriation of Mortal Remains | Accidental Death (Up to 84 years old),,,odontologia | viaje
plan_3477dbb03923eba9,Bmi Cos.,BMI Travel Assist - Student Plan,BMI Travel Assist - Student Plan,viaje,CO,230.00,COP,https://www.bmitravelassist.com/Plans?plan=4,,Asistencia Médica por Accidente | Asistencia Médica por Enfermedad | Asistencia Médica por Condición Preexistente | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Repatriación de Restos Mortales | Muerte Accidental (Hasta 84 años),Medical Assistance for Accident | Medical Assistance for Illness | Medical Assistance in Case of Pre-Existing Medical Condition | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Repatriation of Mortal Remains | Accidental Death (Up to 84 years old),,,odontologia | viaje
plan_9ccd590088846c30,Bmi Cos.,BMI Travel Assist - Family Plan,BMI Travel Assist - Family Plan,viaje,CO,53.84,COP,https://www.bmitravelassist.com/Plans?plan=3,,Asistencia Médica por Accidente | Asistencia Médica por Enfermedad | Asistencia Médica por Condición Preexistente | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Repatriación de Restos Mortales | Muerte Accidental (Hasta 84 años),Medical Assistance for Accident | Medical Assistance for Illness | Medical Assistance in Case of Pre-Existing Medical Condition | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Repatriation of Mortal Remains | Accidental Death (Up to 84 years old),,,odontologia | familiar | viaje
plan_be7cbc0e2e991c7c,Bmi Cos.,BMI Travel Assist - Extended Stay Plan,BMI Travel Assist - Extended Stay Plan,viaje,CO,151.53,COP,https://www.bmitravelassist.com/Plans?plan=2,,Asistencia Médica por Accidente | Asistencia Médica por Enfermedad | Asistencia Médica por Condición Preexistente | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Repatriación de Restos Mortales | Muerte Accidental (Hasta 84 años),Medical Assistance for Accident | Medical Assistance for Illness | Medical Assistance in Case of Pre-Existing Medical Condition | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Repatriation of Mortal Remains | Accidental Death (Up to 84 years old),,,odontologia | viaje
plan_f5ecb863c43d2edd,Bmi Cos.,BMI Travel Assist - Multi-Trip Annual Plan,BMI Travel Assist - Multi-Trip Annual Plan,viaje,CO,148.00,COP,https://www.bmitravelassist.com/Plans?plan=1,,Asistencia Médica por Accidente | Asistencia M��dica por Enfermedad | Asistencia Médica por Condición Preexistente | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Repatriación de Restos Mortales | Muerte Accidental (Hasta 84 años),Medical Assistance for Accident | Medical Assistance for Illness | Medical Assistance in Case of Pre-Existing Medical Condition | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Repatriation of Mortal Remains | Accidental Death (Up to 84 years old),,,odontologia | viaje
plan_0f414ec1da9e8f71,Bmi Cos.,BMI Travel Assist - Daily Plan,BMI Travel Assist - Daily Plan,viaje,CO,18.25,COP,https://www.bmitravelassist.com/Plans?plan=0,,Asistencia Médica por Accidente | Asistencia Médica por Enfermedad | Medicamentos Recetados | Emergencia Dental | Repatriación o Traslado Sanitario | Repatriación de Restos Mortales | Muerte Accidental (hasta 84 años) | Traslado de Familiar por Hospitalización,Medical Assistance for Accident | Medical Assistance for Illness | Prescription Drugs | Dental Emergency | Repatriation or Sanitary Transfer | Repatriation of Mortal Remains | Accidental Death (Up to 84 years old) | Transportation of Family Member due to Hospitalization,,,odontologia | familiar | viaje
plan_057a0921ff3e46d5,Colsanitas,Medisanitas Plan,Medisanitas Plan,salud,CO,250000.00,COP,https://www.colsanitasagencia.com/medisanitas-integral.php,,Acceso directo a 18 especialidades. | Atención médica domiciliaria. | Terapias sin límites. | Hospitalización y cirugía.,Direct access to 18 specialties. | Home medical care. | Unlimited therapies. | Hospitalization and surgery.,,,
plan_813c69c212baba3e,Colsanitas,Colsanitas Plan Integral,Colsanitas Integral Plan,salud,CO,320000.00,COP,https://www.colsanitas.com/plan-integral-colsanitas,,Cobertura en más de 90 municipios a nivel nacional. | Acceso directo a todas especialidades médicas del directorio médico. | Acceso a Psicología sin tope para el número de veces que requieras asistir. | Atención médica domiciliaria. | Seguro de viaje para atención de urgencias y asistencia en el exterior. | Hospitalización y cirugía.,Coverage in more than 90 municipalities nationwide. | Direct access to all medical specialties in the medical directory. | Access to Psychology without limit on the number of times you need to attend. | Home medical care. | Travel insurance for emergency care and assistance abroad. | Hospitalization and surgery.,,,viaje
